,,Student and Staff,,,,,,,,Student Only,,,,,,Staff Only,,,,,,All,,,
,,Tests,,Positive,,Negative,,People,,Tests,,Positive,,Negative,,Tests,,Positive,,Negative,,,,,
,,Daily,Total,Daily,Total,Daily,Total,Daily,Total,Daily,Total,Daily,Total,Daily,Total,Daily,Total,Daily,Total,Daily,Total,,,,
Location,Date,StudentStaff_DailyTests,StudentStaff_TotalTests,StudentStaff_DailyPositive,StudentStaff_TotalPositive,StudentStaff_DailyNegative,StudentStaff_TotalNegative,,,StudenOnly_DailyTests,StudenOnly_AllTests,StudenOnly_DailyPositivie,StudenOnly_AllPositivie,StudentOnly_DailyNegative,StudentOnly_TotalNegative,,,,,,,All_DailyTests,All_TotalTests,All_DailyPositive,All_TotalPositive
https://go.illinois.edu/COVIDTestingData,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,2020-09-18,10564,344303,,2138,,,27,2138,,,,,,,,,,,,,,,,
Illinois,2020-09-17,7802,333739,,2111,,,18,2111,,,,,,,,,,,,,,,,
Illinois,2020-09-16,9965,325937,,2093,,,24,2093,,,,,,,,,,,,,,,,
Illinois,2020-09-15,11232,315972,,2069,,,45,2069,,,,,,,,,,,,,,,,
Illinois,2020-09-14,10214,304740,,2024,,,40,2024,,,,,,,,,,,,,,,,
Illinois,2020-09-13,4568,294526,,1984,,,17,1984,,,,,,,,,,,,,,,,
Illinois,2020-09-12,4009,289958,,1967,,,10,1967,,,,,,,,,,,,,,,,
Illinois,2020-09-11,11253,285949,,1957,,,35,1957,,,,,,,,,,,,,,,,
Illinois,2020-09-10,6626,274696,,1922,,,34,1922,,,,,,,,,,,,,,,,
Illinois,2020-09-09,11993,268070,,1888,,,47,1888,,,,,,,,,,,,,,,,
Illinois,2020-09-08,11621,256077,,1841,,,81,1841,,,,,,,,,,,,,,,,
Illinois,2020-09-07,6299,244456,,1760,,,69,1760,,,,,,,,,,,,,,,,
Illinois,2020-09-06,2987,238157,,1691,,,37,1691,,,,,,,,,,,,,,,,
Illinois,2020-09-05,2609,235170,,1654,,,37,1654,,,,,,,,,,,,,,,,
Illinois,2020-09-04,14204,232561,,1617,,,104,1617,,,,,,,,,,,,,,,,
Illinois,2020-09-03,14841,218357,,1513,,,88,1513,,,,,,,,,,,,,,,,
Illinois,2020-09-02,7089,203516,,1425,,,120,1425,,,,,,,,,,,,,,,,
Illinois,2020-09-01,14367,196427,,1305,,,199,1305,,,,,,,,,,,,,,,,
Illinois,2020-08-31,17227,182060,,1106,,,230,1106,,,,,,,,,,,,,,,,
Illinois,2020-08-30,3640,164833,,876,,,104,876,,,,,,,,,,,,,,,,
Illinois,2020-08-29,2895,161193,,772,,,50,772,,,,,,,,,,,,,,,,
Illinois,2020-08-28,15030,158298,,722,,,65,722,,,,,,,,,,,,,,,,
Illinois,2020-08-27,15123,143268,,657,,,60,657,,,,,,,,,,,,,,,,
Illinois,2020-08-26,6812,128145,,597,,,54,597,,,,,,,,,,,,,,,,
Illinois,2020-08-25,15850,121333,120,543,,,89,543,,,,,,,,,,,,,,,,
Illinois,2020-08-24,17656,105483,97,454,,,79,454,,,,,,,,,,,,,,,,
Illinois,2020-08-23,4474,87827,59,375,,,53,375,,,,,,,,,,,,,,,,
Illinois,2020-08-22,3326,83353,50,322,,,43,322,,,,,,,,,,,,,,,,
Illinois,2020-08-21,10877,80027,65,279,,,54,279,,,,,,,,,,,,,,,,
Illinois,2020-08-20,10742,69150,59,225,,,52,225,,,,,,,,,,,,,,,,
Illinois,2020-08-19,6300,58408,30,173,,,29,173,,,,,,,,,,,,,,,,
Illinois,2020-08-18,6162,52108,22,144,,,20,144,,,,,,,,,,,,,,,,
Illinois,2020-08-17,9064,45946,26,124,,,24,124,,,,,,,,,,,,,,,,
Illinois,2020-08-16,2453,36882,7,100,,,7,100,,,,,,,,,,,,,,,,
Illinois,2020-08-15,1636,34429,8,93,,,6,93,,,,,,,,,,,,,,,,
Illinois,2020-08-14,0,32793,0,87,,,0,87,,,,,,,,,,,,,,,,
Illinois,2020-08-13,0,32793,0,87,,,0,87,,,,,,,,,,,,,,,,
Illinois,2020-08-12,2438,32793,6,87,,,4,87,,,,,,,,,,,,,,,,
Illinois,2020-08-11,3610,30355,8,83,,,4,83,,,,,,,,,,,,,,,,
Illinois,2020-08-10,4110,26745,2,79,,,2,79,,,,,,,,,,,,,,,,
Illinois,2020-08-09,0,22635,,77,,,0,77,,,,,,,,,,,,,,,,
Illinois,2020-08-08,0,22635,,77,,,0,77,,,,,,,,,,,,,,,,
Illinois,2020-08-07,2509,22635,8,77,,,6,77,,,,,,,,,,,,,,,,
Illinois,2020-08-06,1823,20126,5,71,,,5,71,,,,,,,,,,,,,,,,
Illinois,2020-08-05,1405,18303,5,66,,,5,66,,,,,,,,,,,,,,,,
Illinois,2020-08-04,1759,16898,3,61,,,3,61,,,,,,,,,,,,,,,,
Illinois,2020-08-03,1896,15139,3,58,,,1,58,,,,,,,,,,,,,,,,
Illinois,2020-08-02,0,13243,,57,,,0,57,,,,,,,,,,,,,,,,
Illinois,2020-08-01,0,13243,,57,,,0,57,,,,,,,,,,,,,,,,
Illinois,2020-07-31,1058,13243,2,57,,,1,57,,,,,,,,,,,,,,,,
Illinois,2020-07-30,736,12185,5,56,,,4,56,,,,,,,,,,,,,,,,
Illinois,2020-07-29,745,11449,2,52,,,0,52,,,,,,,,,,,,,,,,
Illinois,2020-07-28,741,10704,5,52,,,2,52,,,,,,,,,,,,,,,,
Illinois,2020-07-27,835,9963,5,50,,,4,50,,,,,,,,,,,,,,,,
Illinois,2020-07-26,0,9128,,46,,,0,46,,,,,,,,,,,,,,,,
Illinois,2020-07-25,0,9128,,46,,,0,46,,,,,,,,,,,,,,,,
Illinois,2020-07-24,838,9128,7,46,,,3,46,,,,,,,,,,,,,,,,
Illinois,2020-07-23,752,8290,9,43,,,6,43,,,,,,,,,,,,,,,,
Illinois,2020-07-22,632,7538,8,37,,,3,37,,,,,,,,,,,,,,,,
Illinois,2020-07-21,507,6906,3,34,,,3,34,,,,,,,,,,,,,,,,
Illinois,2020-07-20,840,6399,4,31,,,3,31,,,,,,,,,,,,,,,,
Illinois,2020-07-19,0,5559,,28,,,0,28,,,,,,,,,,,,,,,,
Illinois,2020-07-18,0,5559,,28,,,0,28,,,,,,,,,,,,,,,,
Illinois,2020-07-17,725,5559,4,28,,,3,28,,,,,,,,,,,,,,,,
Illinois,2020-07-16,617,4834,7,25,,,7,25,,,,,,,,,,,,,,,,
Illinois,2020-07-15,538,4217,8,18,,,6,18,,,,,,,,,,,,,,,,
Illinois,2020-07-14,628,3679,3,12,,,2,12,,,,,,,,,,,,,,,,
Illinois,2020-07-13,669,3051,2,10,,,2,10,,,,,,,,,,,,,,,,
Illinois,2020-07-12,0,2382,,8,,,0,8,,,,,,,,,,,,,,,,
Illinois,2020-07-11,0,2382,,8,,,0,8,,,,,,,,,,,,,,,,
Illinois,2020-07-10,730,2382,5,8,,,5,8,,,,,,,,,,,,,,,,
Illinois,2020-07-09,719,1652,1,3,,,1,3,,,,,,,,,,,,,,,,
Illinois,2020-07-08,598,933,2,2,,,2,2,,,,,,,,,,,,,,,,
Illinois,2020-07-07,236,335,0,0,,,0,0,,,,,,,,,,,,,,,,
Illinois,2020-07-06,99,99,0,0,,,0,0,,,,,,,,,,,,,,,,
https://fall2020.iu.edu/dashboards/,,,,,,,,,,,,,,,,,,,,,,,,,
#Comments,# Week of 9/5 == 9-11,,,,,,,,,,,Graph #1: Mitigation,,,,,,Graph #2: Symtomatic Testing,,,,,,,
Indiana,2020-09-11,9900,30657,592,2012,,,,,,30865,362,1382,9519,29483,,,230,,381,,,,,
Indiana,2020-09-04,11636,20757,1027,1420,,,,,,,743,1020,11306,19964,,,284,,330,,,,,
Indiana,2020-08-28,8835,9121,362,393,,,,,,,277,277,8658,8658,,,85,,177,,,,,
Indiana,2020-08-21,112,286,17,31,,,,,,,,,,,,,17,,112,,,,,
Indiana,2020-08-14,104,174,10,14,,,,,,,,,,,,,10,,104,,,,,
Indiana,2020-08-07,70,70,4,4,,,,,,,,,,,,,4,,70,,,,,
https://iuhealth.org/thrive/iu-health-covid-19-data,,,,,,,,,,,,,,,,,,,,,,,,,
#Indiana University       ,2020-09-16,,,,,,,,,,,,,,,,,,,,,,217245,,
